inf_prop,diag_prop,i0,beta_measure
0.55,0.5,5.0,0.0
0.55,0.5,5.0,0.0
0.55,0.5,5.0,0.0
0.55,0.5,5.0,0.0
0.55,0.5,5.0,0.0
0.55,0.5,5.0,0.0
0.55,0.5,5.0,0.0
0.55,0.5,5.0,0.0
0.55,0.5,5.0,0.0
0.55,0.5,5.0,0.0
0.55,0.5,5.0,0.0
0.55,0.5,5.0,0.0
0.55,0.5,5.0,0.0
0.55,0.5,5.0,0.0
0.55,0.5,5.0,0.0
